A!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!REFDES!FUNC_PRIM_FILE!COMP_PARENT_PPT!COMP_PARENT_PPT_PART!COMP_PARENT_PART_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!FUNC_GROUP!FUNC_ROOM!FUNC_TERM_IDENT!FUNC_CDS_FSP_INSTANCE_ID!FUNC_CDS_FSP_IS_FPGA!FUNC_CDS_FSP_UID!
J!C:/EDM/grey_matter_server/brain_board/output/brain_board/physical/brain_board.brd!Mon Mar  8 11:32:41 2021!-7425.00!-10499.00!32575.00!24501.00!0.01!mils!BRAIN_BOARD!48.700000 mil!12!UP TO DATE!
S!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231571\!RES-202000050,R0402,RES,VISHAYB!R332!discrete.resistor!!!RES!!!F292!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646734\@worklib.mgmt_block(tbl_1):\I167231572\!RES-202000050,R0402,RES,VISHAYB!R333!discrete.resistor!!!RES!!!F291!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231523\!RES-202000050,R0402,RES,VISHAYB!R334!discrete.resistor!!!RES!!!F290!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646732\@worklib.usb_block(tbl_1):\I167231535\!RES-202000050,R0402,RES,VISHAYB!R335!discrete.resistor!!!RES!!!F289!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231496\!RES-202000050,R0402,RES,VISHAYB!R59!discrete.resistor!!!RES!!!F288!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231497\!RES-202000050,R0402,RES,VISHAYB!R60!discrete.resistor!!!RES!!!F287!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646741\@worklib.gige_block(tbl_1):\I167231520\!RES-202000050,R0402,RES,VISHAYB!R71!discrete.resistor!!!RES!!!F286!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646741\@worklib.gige_block(tbl_1):\I167231523\!RES-202000050,R0402,RES,VISHAYB!R74!discrete.resistor!!!RES!!!F285!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231522\!RES-202000050,R0402,RES,VISHAYB!R75!discrete.resistor!!!RES!!!F284!!!!!!!
S!@worklib.brain_board(tbl_1):\I1039646739\@worklib.zynq_block(tbl_1):\I167231536\!RES-202000050,R0402,RES,VISHAYB!R76!discrete.resistor!!!RES!!!F283!!!!!!!
